Project ID,Project Name,Ticker Symbol,Cross-Chain,Category,Sub-Category,Status
272,Nitro League,NITRO,YES,GameFi,"marketplace, metaverse, nft, play to earn, polygon ecosystem",ACTIVE
273,Galaxy Fight Club,GCOIN,NO,GameFi,"collectibles, nft, play to earn, polygon ecosystem",ACTIVE
274,SpiderDAO,SPDR,NO,Blockchain Service,"dao, governance",ACTIVE
275,OkLetsPlay,OKLP,NO,GameFi,"polygon ecosystem, sports, play to earn",ACTIVE
276,Burp,BURP,YES,Blockchain Service,"governance, nft, marketplace, lending/borrowing, yield farming, play to earn, collectibles",ACTIVE
277,Meme.com,MEM,YES,DeFi,"nft, governance, staking, marketplace",ACTIVE
278,Ark Rivals,ARKN,YES,GameFi,"bnb  chain ecosystem, nft, play to earn, staking",ACTIVE
279,Polinate,POLI,NO,Blockchain Service,"launchpad, polygon ecosystem, crowdfunding",ACTIVE
280,Safle,SAFLE,YES,DeFi,"dapp, nft, payments, privacy, polygon ecosystem, governance, dao, staking",ACTIVE
281,Artmeta,MART,NO,NFT,"marketplace, vr/ar, metaverse, nft, polygon ecosystem",ACTIVE
282,Deliq Finance,DLQ,NO,DeFi,"staking, yield farming, avalanche ecosystem, cross-chain, dao, governance",ACTIVE
283,Wonderman Nation,WNDR,NO,GameFi,"nft, marketplace, play to earn",ACTIVE
284,WagyuSwap,WAG,YES,DeFi,"bnb chain ecosystem, dex, staking, dapp",ACTIVE
285,NFTLaunch,NFTL,NO,NFT,"marketplace, nft, staking, launchpad, collectibles",ACTIVE
286,GameZone,GZONE,YES,DeFi,"bnb chain ecosystem, nft, play to earn, staking, launchpad",ACTIVE
287,BitOrbit,BITORB,NO,Social,"bnb chain ecosystem, social media",ACTIVE
288,CrossWallet,CWT,YES,Blockchain Infrastructure,"cross-chain, dapp, staking, governance, tron ecosystem, wallet",ACTIVE
289,BSC Station,BSCS,NO,DeFi,"nft, marketplace",ACTIVE
290,Ghospers Game,GHSP,NO,GameFi,"marketplace, nft, play to earn",ACTIVE
291,Medacoin,MEDA,NO,GameFi,"nft, marketplace",INACTIVE
292,CrossSwap,CSWAP,YES,DeFi,"bnb chain ecosystem, dex, cross-chain, exchange token",ACTIVE
293,Qmall,QMALL,YES,CeFi,"cex, exchange token, bnb chain ecosystem",ACTIVE
294,Operon Origins,ORO,NO,GameFi,"bnb chain ecosystem, collectibles, marketplace, nft, play to earn",ACTIVE
295,Verve,VERVE,YES,GameFi,"social media, bnb chain ecosystem",ACTIVE
296,Swapz,SWAPZ,YES,DeFi,"amm, dapp, staking, tron ecosystem, exchange token, dex",ACTIVE
297,Polker,PKR,YES,GameFi,"nft, staking, tron ecosystem",ACTIVE
298,Stack,OSSTACK,YES,Cloud Computing,"governance, marketplace, staking, nft, polygon ecosystem, bnb chain ecosystem",ACTIVE
299,Raze Network,RAZE,NO,Blockchain Service,"polkadot ecosystem, governance, polygon ecosystem",ACTIVE
300,Outer Ring,GQ,NO,GameFi,"marketplace, nft, play to earn",ACTIVE
301,O3 Swap,O3,YES,DeFi,"staking, amm, governance, yield farming, cross-chain, solana ecosystem, heco ecosystem, exchange token, dex",ACTIVE
302,Dexsport,DESU,NO,GameFi,"bnb chain ecosystem, sports, gambling and betting",ACTIVE
303,Identity,IDTT,NO,Blockchain Service,verification,ACTIVE
304,Cook Protocol,COOK,YES,DeFi,governance,ACTIVE
305,KELVPN,KEL,YES,Blockchain Service,"governance, staking",ACTIVE
306,Media Industry Licensing Content,MLT,YES,Blockchain Service,"marketplace, governance, staking, metaverse",ACTIVE
307,HappyFans,HAPPY,YES,Social,"privacy, marketplace, nft, payments, bnb chain ecosystem",ACTIVE
308,Freela,FREL,YES,DeFi,"governance, payments, staking, marketplace",ACTIVE
309,Lever Network,LEV,YES,DeFi,"amm, loan, governance, dex",ACTIVE
310,Katana Inu,KATA,YES,GameFi,"bnb chain ecosystem, collectibles, marketplace, nft, play to earn, staking",ACTIVE
311,Flourishing ,AIAI,NO,Blockchain Service,"bnb chain ecosystem, portfolio management, ai",ACTIVE
312,XP Network,XPNET,YES,NFT,"collectibles, bnb chain ecosystem, polkadot ecosystem, solana ecosystem, tron ecosystem, cross-chain, avalanche ecosystem, heco ecosystem, dapp",ACTIVE
313,World of Defish,WOD,NO,GameFi,"bnb chain ecosystem, governance, marketplace, metaverse, nft, play to earn",ACTIVE
314,TradeStars,TSX,YES,GameFi,"amm, governance, marketplace, nft",ACTIVE
315,Metafluence,METO,NO,Social,"bnb chain ecosystem, collectibles, metaverse, nft, governance, marketplace",ACTIVE
316,Tidex Token,TDX,YES,CeFi,"cex, exchange token",ACTIVE
317,EQIFI,EQX,YES,DeFi,"loan, yield aggregator, governance, bnb chain ecosystem, payments",ACTIVE
318,Atlantis Metaverse,TAU,NO,GameFi,"bnb chain ecosystem, marketplace, metaverse, nft",ACTIVE
319,Roseon Finance,ROSN,NO,DeFi,"yield aggregator, nft, yield farming, cross-chain, dapp, exchange aggregator, bnb chain ecosystem, launchpad",ACTIVE
320,SafeLaunch,SFEX,NO,DeFi,"cross-chain, bnb chain ecosystem, launchpad, staking, yield farming",ACTIVE
321,Fanadise,FAN,NO,DeFi,"nft, marketplace, staking",ACTIVE
322,InvestDex,INVEST,NO,Blockchain Service,dapp,ACTIVE
323,VikingsChain,VIKC,NO,GameFi,dapp,INACTIVE
324,Marvelous NFTs,MNFT,YES,GameFi,"nft, collectibles, play to earn, marketplace, bnb chain ecosystem, polygon ecosystem",ACTIVE
325,Ydragon,YDR,YES,DeFi,"cross-chain, governance, index, yield farming, bnb chain ecosystem",ACTIVE
326,ADAO,ADAO,YES,DeFi,"assets, governance, bnb chain ecosystem, dao",ACTIVE
327,X22,X22,NO,Social,"social network, art",ACTIVE
328,Alium Finance,ALM,YES,DeFi,"amm, cross-chain, nft, exchange token, dex",ACTIVE
329,NFT Stars,NFTS,NO,NFT,"cross-chain, marketplace",ACTIVE
330,Liquidifty,LQT,NO,NFT,"bnb chain ecosystem, nft, marketplace",ACTIVE
331,ADALend,ADAL,YES,DeFi,"dao, lending/borrowing, dapp, governance, staking, bnb chain ecosystem",ACTIVE
332,NeoFi,NEOFI,NO,CeFi,"portfolio management, staking, bnb chain ecosystem",ACTIVE
333,WeWay,WWY,YES,Blockchain Service,"collectibles, art, nft, bnb chain ecosystem",ACTIVE
334,Polar Sync,POLAR,NO,Blockchain Service,"dapp, api",INACTIVE
335,MeDIA eYe,EYE,YES,NFT,"bnb chain ecosystem, collectibles, marketplace",ACTIVE
336,Greenheart,CBD,NO,DeFi,"dapp, staking, loan, governance",ACTIVE
337,Xion,XGT,NO,DeFi,"bnb chain ecosystem, yield farming, cross-chain",ACTIVE
338,PolkaTrail,TRAIL,NO,DeFi,"nft, travel",ACTIVE
